address,asset_id
"addr_test1qz3c32q229avmcmr8a3wjze84c3080gpdlvw0tn872nnmjw7maa7zkzepfv40nf80hcwlrcekqmn3g4y7ldjkwfj9akslgque4"""
"addr_test1qrt9w3ph0hlky0psx6a9xjkwkwdgmp4shzd6cn5n69a95yc0m0dwu7ev590h34amxdqr4ar7aw93qrmey2dd8nn4ywfqyaatw4"""
"addr_test1qqrvzxgsncu5p076emlz2cryxs5g0hll2e8gfyg59nrst07v9gewzd7d2g0l83gvrtvlfkrfaskfpgw55264x6s9p4dsk7cwcl"""
